dataset_id,page_idx,token_idx,gt_token,pred_token,outcome
1,0,0,H,H,correct
1,0,1,I,I,correct
1,1,0,H,H,correct
1,1,1,I,I,correct
1,1,2,G,G,correct
1,1,3,H,H,correct
1,2,0,R,R,correct
1,2,1,P,P,correct
1,2,2,H,H,correct
1,2,3,N,N,correct
1,3,0,E,E,correct
1,3,1,J,J,correct
1,3,2,N,N,correct
1,3,3,O,O,correct
1,4,0,L,L,correct
1,4,1,I,I,correct
1,4,2,G,G,correct
1,4,3,A,A,correct
1,4,4,A,A,correct
1,4,5,I,I,correct
1,4,6,Q,Q,correct
1,4,7,U,U,correct
1,4,8,?,?,correct
1,5,0,E,E,correct
1,5,1,H,H,correct
1,6,0,G,G,correct
1,6,1,I,I,correct
1,6,2,N,N,correct
1,6,3,O,O,correct
1,7,0,G,E,substitution
1,7,1,H,I,substitution
1,7,2,M,P,substitution
1,8,0,E,E,correct
1,8,1,K,K,correct
1,8,2,O,O,correct
1,9,0,E,E,correct
1,9,1,I,I,correct
1,9,2,O,O,correct
1,9,3,P,P,correct
1,9,4,R,R,correct
1,9,5,V,V,correct
1,10,0,H,H,correct
1,10,1,E,E,correct
1,10,2,L,L,correct
1,10,3,J,J,correct
1,10,4,J,J,correct
1,10,5,O,O,correct
1,11,0,J,J,correct
1,11,1,I,I,correct
1,11,2,F,F,correct
1,11,3,M,M,correct
2,0,0,H,H,correct
2,0,1,E,E,correct
2,1,0,E,E,correct
2,1,1,D,D,correct
2,1,2,C,C,correct
2,1,3,G,G,correct
2,2,0,N,N,correct
2,2,1,L,L,correct
2,2,2,D,D,correct
2,2,3,J,J,correct
2,3,0,B,B,correct
2,3,1,F,F,correct
2,3,2,J,J,correct
2,3,3,K,K,correct
2,4,0,S,S,correct
2,4,1,E,E,correct
2,4,2,O,O,correct
2,4,3,A,A,correct
2,4,4,I,I,correct
2,4,5,E,E,correct
2,4,6,L,L,correct
2,4,7,A,A,correct
2,4,8,A,A,correct
2,5,0,A,A,correct
2,5,1,D,D,correct
2,6,0,B,B,correct
2,6,1,E,E,correct
2,6,2,J,S,substitution
2,6,3,N,N,correct
2,7,0,A,A,correct
2,7,1,E,E,correct
2,7,2,N,N,correct
2,8,0,A,A,correct
2,8,1,G,G,correct
2,8,2,O,O,correct
2,9,0,A,A,correct
2,9,1,E,E,correct
2,9,2,H,H,correct
2,9,3,K,K,correct
2,9,4,N,N,correct
2,9,5,R,R,correct
2,10,0,H,H,correct
2,10,1,A,A,correct
2,10,2,?,?,correct
2,10,3,?,?,correct
2,10,4,?,?,correct
2,10,5,?,?,correct
2,11,0,?,?,correct
2,11,1,?,?,correct
2,11,2,?,?,correct
2,11,3,?,?,correct
3,0,0,H,H,correct
3,0,1,I,I,correct
3,1,0,E,E,correct
3,1,1,D,D,correct
3,1,2,C,C,correct
3,1,3,G,G,correct
3,2,0,D,D,correct
3,2,1,J,J,correct
3,2,2,A,A,correct
3,2,3,A,A,correct
3,3,0,B,B,correct
3,3,1,F,F,correct
3,3,2,H,H,correct
3,3,3,K,K,correct
3,4,0,A,A,correct
3,4,1,E,E,correct
3,4,2,L,L,correct
3,4,3,Q,Q,correct
3,4,4,E,E,correct
3,4,5,E,E,correct
3,4,6,R,R,correct
3,4,7,P,P,correct
3,4,8,Q,Q,correct
3,5,0,B,B,correct
3,5,1,H,H,correct
3,6,0,C,C,correct
3,6,1,F,F,correct
3,6,2,J,J,correct
3,6,3,K,K,correct
3,7,0,A,A,correct
3,7,1,E,E,correct
3,7,2,J,J,correct
3,8,0,A,A,correct
3,8,1,G,G,correct
3,8,2,L,L,correct
3,9,0,A,A,correct
3,9,1,E,E,correct
3,9,2,K,K,correct
3,9,3,L,L,correct
3,9,4,N,N,correct
3,9,5,Q,Q,correct
3,10,0,D,D,correct
3,10,1,D,D,correct
3,10,2,H,H,correct
3,10,3,H,H,correct
3,10,4,H,H,correct
3,10,5,K,K,correct
3,11,0,D,D,correct
3,11,1,I,I,correct
3,11,2,I,I,correct
3,11,3,I,I,correct
4,0,0,H,H,correct
4,0,1,I,I,correct
4,1,0,G,G,correct
4,1,1,F,F,correct
4,1,2,E,E,correct
4,1,3,I,I,correct
4,2,0,P,P,correct
4,2,1,N,N,correct
4,2,2,F,F,correct
4,2,3,L,L,correct
4,3,0,D,D,correct
4,3,1,H,H,correct
4,3,2,J,J,correct
4,3,3,M,M,correct
4,4,0,D,D,correct
4,4,1,G,G,correct
4,4,2,C,C,correct
4,4,3,C,C,correct
4,4,4,K,K,correct
4,4,5,G,G,correct
4,4,6,O,O,correct
4,4,7,S,S,correct
4,4,8,C,?,substitution
4,5,0,D,A,substitution
4,5,1,F,F,correct
4,6,0,E,E,correct
4,6,1,G,G,correct
4,6,2,L,L,correct
4,6,3,M,M,correct
4,7,0,E,E,correct
4,7,1,F,F,correct
4,7,2,K,K,correct
4,8,0,C,C,correct
4,8,1,I,I,correct
4,8,2,N,N,correct
4,9,0,C,C,correct
4,9,1,G,G,correct
4,9,2,J,J,correct
4,9,3,M,M,correct
4,9,4,P,P,correct
4,9,5,S,S,correct
4,10,0,G,G,correct
4,10,1,C,C,correct
4,10,2,E,E,correct
4,10,3,H,H,correct
4,10,4,H,H,correct
4,10,5,M,M,correct
4,11,0,H,H,correct
4,11,1,G,G,correct
4,11,2,D,D,correct
4,11,3,K,K,correct
5,0,0,H,H,correct
5,0,1,E,E,correct
5,1,0,E,E,correct
5,1,1,D,D,correct
5,1,2,C,C,correct
5,1,3,G,G,correct
5,2,0,N,N,correct
5,2,1,L,L,correct
5,2,2,D,D,correct
5,2,3,J,J,correct
5,3,0,A,A,correct
5,3,1,F,F,correct
5,3,2,J,J,correct
5,3,3,L,L,correct
5,4,0,E,E,correct
5,4,1,F,F,correct
5,4,2,L,L,correct
5,4,3,O,O,correct
5,4,4,S,S,correct
5,4,5,I,I,correct
5,4,6,C,C,correct
5,4,7,B,B,correct
5,4,8,A,A,correct
5,5,0,C,C,correct
5,5,1,D,D,correct
5,6,0,C,C,correct
5,6,1,D,D,correct
5,6,2,I,I,correct
5,6,3,K,K,correct
5,7,0,A,A,correct
5,7,1,E,E,correct
5,7,2,L,L,correct
5,8,0,A,A,correct
5,8,1,G,G,correct
5,8,2,L,L,correct
5,9,0,A,A,correct
5,9,1,E,E,correct
5,9,2,H,H,correct
5,9,3,K,K,correct
5,9,4,N,N,correct
5,9,5,Q,Q,correct
5,10,0,E,E,correct
5,10,1,B,B,correct
5,10,2,H,H,correct
5,10,3,H,H,correct
5,10,4,K,K,correct
5,10,5,K,K,correct
5,11,0,F,F,correct
5,11,1,E,E,correct
5,11,2,C,C,correct
5,11,3,I,I,correct
6,0,0,H,H,correct
6,0,1,I,I,correct
6,1,0,E,E,correct
6,1,1,D,D,correct
6,1,2,C,C,correct
6,1,3,G,G,correct
6,2,0,D,D,correct
6,2,1,J,J,correct
6,2,2,A,A,correct
6,2,3,A,A,correct
6,3,0,B,B,correct
6,3,1,F,F,correct
6,3,2,H,H,correct
6,3,3,K,K,correct
6,4,0,I,I,correct
6,4,1,E,E,correct
6,4,2,L,L,correct
6,4,3,Q,Q,correct
6,4,4,I,I,correct
6,4,5,E,E,correct
6,4,6,M,M,correct
6,4,7,Q,Q,correct
6,4,8,A,A,correct
6,5,0,H,H,correct
6,5,1,D,D,correct
