model,source_file,datasets_covered,tp,fn,fp,tn,recall,fnr,precision,specificity,classification_accuracy
LLM OpenRouter Anthropic Claude Opus 4.7-plain-subset_1_10,recognition_llm_openrouter_claude_opus47_plain.txt,10,343,14,0,153,0.960784,0.039216,1.000000,1.000000,0.972549
LLM OpenRouter Gemini-3.1 Flash-Lite-plain,recognition_llm_openrouter_gemini31_flashlite.txt,61,2342,52,1,746,0.978279,0.021721,0.999573,0.998661,0.983126
LLM OpenRouter Gemini-3.1 Flash-Lite-weak,recognition_llm_openrouter_gemini31_flashlite_weak_hint_ref.txt,61,2380,14,11,736,0.994152,0.005848,0.995399,0.985274,0.992041
LLM OpenRouter OpenAI GPT-5.2-plain,recognition_llm_openrouter_openai_gpt52_plain.txt,61,2250,144,5,742,0.939850,0.060150,0.997783,0.993307,0.952563
LLM OpenRouter OpenAI GPT-5.2-weak,recognition_llm_openrouter_openai_gpt52_weak_hint_ref.txt,61,2367,27,80,667,0.988722,0.011278,0.967307,0.892905,0.965934
LLM OpenRouter OpenAI GPT-5.5-plain-subset_1_10,recognition_llm_openrouter_openai_gpt55_plain.txt,10,340,17,0,153,0.952381,0.047619,1.000000,1.000000,0.966667
LLM OpenRouter Qwen3-VL-30B-plain,recognition_llm_qwen3vl30b_plain.txt,61,2239,155,4,743,0.935255,0.064745,0.998217,0.994645,0.949379
LLM OpenRouter Qwen3-VL-30B-weak,recognition_llm_qwen3vl30b_weak_hint_ref.txt,61,2357,37,32,715,0.984545,0.015455,0.986605,0.957162,0.978032
LLM OpenRouter xAI Grok-4.3-plain,recognition_llm_grok43_plain.txt,61,2155,239,1,746,0.900167,0.099833,0.999536,0.998661,0.923591
LLM OpenRouter xAI Grok-4.3-weak,recognition_llm_grok43_weak_hint_ref.txt,61,2355,39,193,554,0.983709,0.016291,0.924254,0.741633,0.926138
YOLO26 Medium-plain,recognition_yolo26_medium.txt,61,2153,241,1,746,0.899332,0.100668,0.999536,0.998661,0.922954
YOLOv5 Medium-plain,recognition_yolov5_medium.txt,61,2211,183,2,745,0.923559,0.076441,0.999096,0.997323,0.941102
