gt_token,pred_token,count
<INS>,?,7
?,?,23
A,A,98
B,B,42
B,M,2
C,?,1
C,C,133
D,A,1
D,B,1
D,D,104
D,O,1
E,A,2
E,E,237
E,F,2
E,G,2
E,P,1
F,A,1
F,F,158
F,I,1
F,K,1
G,?,1
G,A,3
G,E,1
G,G,239
G,K,1
G,L,1
G,S,2
H,D,2
H,H,259
H,I,1
H,M,1
I,D,2
I,G,1
I,I,259
I,L,1
I,M,1
I,T,1
J,?,1
J,D,4
J,F,2
J,G,1
J,I,1
J,J,192
J,M,3
J,S,2
J,Y,3
J,Z,1
K,H,1
K,K,201
K,L,1
K,R,2
K,U,4
L,?,1
L,L,166
L,Z,1
M,H,1
M,M,155
M,P,1
M,U,2
N,?,1
N,M,1
N,N,149
N,V,1
O,D,1
O,M,1
O,O,129
O,Q,1
P,P,104
Q,L,1
Q,Q,111
R,R,77
S,S,69
T,T,49
U,U,46
V,U,1
V,V,21
W,W,27
X,X,10
Y,Y,7
Z,Z,1
