model,dataset_id,pages,letters_total,letters_correct,letters_wrong,extra_pred_tokens,accuracy,accuracy_percent
LLM Google Gemini-3.5 Flash-plain,1,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,2,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-plain,3,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,4,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,5,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,6,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,7,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,8,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,9,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,10,12,51,45,6,0,0.882353,88.24
LLM Google Gemini-3.5 Flash-plain,11,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-plain,12,12,51,49,2,0,0.960784,96.08
LLM Google Gemini-3.5 Flash-plain,13,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-plain,14,12,51,47,4,0,0.921569,92.16
LLM Google Gemini-3.5 Flash-plain,15,12,51,44,7,0,0.862745,86.27
LLM Google Gemini-3.5 Flash-plain,16,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,17,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,18,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-plain,19,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,20,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,21,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,22,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,23,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,24,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-plain,25,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,26,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,27,12,51,45,6,0,0.882353,88.24
LLM Google Gemini-3.5 Flash-plain,28,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-plain,29,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,30,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,31,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,32,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-plain,33,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-plain,34,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-plain,35,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,36,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,37,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,38,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,39,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,40,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,41,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,42,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,43,12,51,47,4,0,0.921569,92.16
LLM Google Gemini-3.5 Flash-plain,44,12,51,47,4,0,0.921569,92.16
LLM Google Gemini-3.5 Flash-plain,45,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,46,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,47,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,48,12,51,49,2,0,0.960784,96.08
LLM Google Gemini-3.5 Flash-plain,49,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,50,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,51,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,52,13,54,53,1,0,0.981481,98.15
LLM Google Gemini-3.5 Flash-plain,53,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,54,13,54,45,9,0,0.833333,83.33
LLM Google Gemini-3.5 Flash-plain,55,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,56,13,54,47,7,0,0.870370,87.04
LLM Google Gemini-3.5 Flash-plain,57,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,58,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,59,13,54,53,1,0,0.981481,98.15
LLM Google Gemini-3.5 Flash-plain,60,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-plain,61,13,54,54,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,1,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,2,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,3,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,4,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,5,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,6,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,7,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,8,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,9,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-weak,10,12,51,49,2,0,0.960784,96.08
LLM Google Gemini-3.5 Flash-weak,11,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,12,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,13,12,51,48,3,0,0.941176,94.12
LLM Google Gemini-3.5 Flash-weak,14,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,15,12,51,42,9,0,0.823529,82.35
LLM Google Gemini-3.5 Flash-weak,16,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-weak,17,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,18,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,19,12,51,49,2,0,0.960784,96.08
LLM Google Gemini-3.5 Flash-weak,20,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,21,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,22,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,23,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,24,12,51,50,1,0,0.980392,98.04
LLM Google Gemini-3.5 Flash-weak,25,12,51,45,6,0,0.882353,88.24
LLM Google Gemini-3.5 Flash-weak,26,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,27,12,51,51,0,0,1.000000,100.00
LLM Google Gemini-3.5 Flash-weak,28,12,51,51,0,0,1.000000,100.00
