model,dataset_id,start_ts_utc,end_ts_utc,duration_seconds
LLM Google Gemini-3.5 Flash-plain,1,2026-05-22T11:34:36.140546+00:00,2026-05-22T11:34:36.140546+00:00,0.000
LLM Google Gemini-3.5 Flash-plain,2,2026-05-22T11:34:36.140546+00:00,2026-05-22T11:35:33.552484+00:00,57.412
LLM Google Gemini-3.5 Flash-plain,3,2026-05-22T11:35:33.552484+00:00,2026-05-22T11:36:29.191075+00:00,55.639
LLM Google Gemini-3.5 Flash-plain,4,2026-05-22T11:36:29.191075+00:00,2026-05-22T11:37:26.943937+00:00,57.753
LLM Google Gemini-3.5 Flash-plain,5,2026-05-22T11:37:26.943937+00:00,2026-05-22T11:38:22.846777+00:00,55.903
LLM Google Gemini-3.5 Flash-plain,6,2026-05-22T11:38:22.846777+00:00,2026-05-22T11:39:23.786264+00:00,60.939
LLM Google Gemini-3.5 Flash-plain,7,2026-05-22T11:39:23.786264+00:00,2026-05-22T11:40:23.282055+00:00,59.496
LLM Google Gemini-3.5 Flash-plain,8,2026-05-22T11:40:23.282055+00:00,2026-05-22T11:41:29.315632+00:00,66.034
LLM Google Gemini-3.5 Flash-plain,9,2026-05-22T11:41:29.315632+00:00,2026-05-22T11:42:27.095983+00:00,57.780
LLM Google Gemini-3.5 Flash-plain,10,2026-05-22T11:42:27.095983+00:00,2026-05-22T11:46:40.115342+00:00,253.019
LLM Google Gemini-3.5 Flash-plain,11,2026-05-22T11:46:40.115342+00:00,2026-06-05T11:31:01.463973+00:00,1208661.349
LLM Google Gemini-3.5 Flash-plain,12,2026-06-05T11:31:01.463973+00:00,2026-06-05T11:32:06.721138+00:00,65.257
LLM Google Gemini-3.5 Flash-plain,13,2026-06-05T11:32:06.721138+00:00,2026-06-05T11:33:19.159379+00:00,72.438
LLM Google Gemini-3.5 Flash-plain,14,2026-06-05T11:33:19.159379+00:00,2026-06-05T11:37:42.020760+00:00,262.861
LLM Google Gemini-3.5 Flash-plain,15,2026-06-05T11:37:42.020760+00:00,2026-06-05T11:38:52.784154+00:00,70.763
LLM Google Gemini-3.5 Flash-plain,16,2026-06-05T11:38:52.784154+00:00,2026-06-05T11:40:02.084292+00:00,69.300
LLM Google Gemini-3.5 Flash-plain,17,2026-06-05T11:40:02.084292+00:00,2026-06-05T11:41:06.613870+00:00,64.530
LLM Google Gemini-3.5 Flash-plain,18,2026-06-05T11:41:06.613870+00:00,2026-06-05T11:42:24.550762+00:00,77.937
LLM Google Gemini-3.5 Flash-plain,19,2026-06-05T11:42:24.550762+00:00,2026-06-05T11:43:43.454642+00:00,78.904
LLM Google Gemini-3.5 Flash-plain,20,2026-06-05T11:43:43.454642+00:00,2026-06-05T11:44:56.412836+00:00,72.958
LLM Google Gemini-3.5 Flash-plain,21,2026-06-05T11:44:56.412836+00:00,2026-06-05T11:46:00.421600+00:00,64.009
LLM Google Gemini-3.5 Flash-plain,22,2026-06-05T11:46:00.421600+00:00,2026-06-05T11:47:11.140632+00:00,70.719
LLM Google Gemini-3.5 Flash-plain,23,2026-06-05T11:47:11.140632+00:00,2026-06-05T11:48:18.546485+00:00,67.406
LLM Google Gemini-3.5 Flash-plain,24,2026-06-05T11:48:18.546485+00:00,2026-06-05T14:42:50.018473+00:00,10471.472
LLM Google Gemini-3.5 Flash-plain,25,2026-06-05T14:42:50.018473+00:00,2026-06-05T14:44:20.746169+00:00,90.728
LLM Google Gemini-3.5 Flash-plain,26,2026-06-05T14:44:20.746169+00:00,2026-06-05T14:45:28.123148+00:00,67.377
LLM Google Gemini-3.5 Flash-plain,27,2026-06-05T14:45:28.123148+00:00,2026-06-05T14:52:23.297238+00:00,415.174
LLM Google Gemini-3.5 Flash-plain,28,2026-06-05T14:52:23.297238+00:00,2026-06-05T14:53:34.723830+00:00,71.427
LLM Google Gemini-3.5 Flash-plain,29,2026-06-05T14:53:34.723830+00:00,2026-06-05T14:54:42.208441+00:00,67.485
LLM Google Gemini-3.5 Flash-plain,30,2026-06-05T14:54:42.208441+00:00,2026-06-05T14:55:49.688794+00:00,67.480
LLM Google Gemini-3.5 Flash-plain,31,2026-06-05T14:55:49.688794+00:00,2026-06-05T14:57:03.684184+00:00,73.995
